,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_P,total_Ca,Condition
0,VL,0.19212531301492095,2.4608912901544226e-06,0.23534998805768342,1.1053202972696052,0.73494370420894,0.14246024400086568,0.0006799332134682552,0.4377045389762045,0.0053685723462819765,6.386522872126755e-07,6-OHDA
1,VL,0.15685940535631668,7.890455288041674e-06,0.08991254525035293,1.9090488383663453,1.5529780616134794,0.07313165693437125,0.0009257958869101645,0.4503896442968018,0.001022839476682657,8.837518865605301e-07,6-OHDA
2,VL,0.2882526124583625,2.5239165319236077e-07,0.005434804961022388,1.561562911204959,0.538367199090467,0.48114740667826383,0.0004084491041944073,0.3152852660087887,0.04158647486248691,2.404628681305942e-07,6-OHDA
3,VL,0.8033581140066419,2.3146261172323505e-06,0.5385620997506428,1.7026198894689917,0.07319808856089856,0.3334503650971361,0.0005400676321766925,0.24229314964466545,0.0001951097016391617,2.740321877132849e-07,6-OHDA
4,VL,0.7747290835020708,4.011320098075678e-06,0.20451739993969226,1.2364383909140233,0.8241270014872888,0.23032953260641398,0.0007128659862781311,0.15676522725662645,1.729030793068601e-05,2.5989816603921615e-07,6-OHDA
5,VL,0.8917636408190897,3.7670120494633457e-06,0.6309760860967025,1.6822759026639085,0.746097614933207,0.08034998031252905,3.654898570454567e-05,0.2367388344986357,6.735509118749037e-08,6.724902356620224e-08,6-OHDA
6,VL,0.684646539802646,3.086665479506802e-06,0.2241841135065895,0.9663990831248507,1.0930219418673692,0.41860846135618707,0.0009487702089291999,0.4671910349322203,0.005389505351856981,7.476039600220487e-07,6-OHDA
7,VL,0.6133577331817225,5.541034102922639e-06,0.5288693806705869,0.6063115672507007,1.1387578361562465,0.08004143217462442,0.00030754817371803756,0.46706775464768024,0.0002660960394416494,3.3714333301894567e-07,6-OHDA
8,VL,0.19212531301492095,2.4608912901544226e-06,0.1829405390185185,0.742334635730555,0.73494370420894,0.14246024400086568,0.0006799332134682552,0.43409482887542417,0.0052203356798987905,6.337973122163582e-07,Quinpirole 6-OHDA
9,VL,0.15685940535631668,7.890455288041674e-06,0.07908083491601912,1.8854909227468195,1.5529780616134794,0.07313165693437125,0.0009257958869101645,0.3576523868793468,0.0003708082727062693,7.120683206342953e-07,Quinpirole 6-OHDA
10,VL,0.2882526124583625,2.5239165319236077e-07,0.0029132089497017175,1.7096626328778073,0.538367199090467,0.48114740667826383,0.0004084491041944073,0.20460766787041504,0.015935153925210707,1.735853164896016e-07,Quinpirole 6-OHDA
11,VL,0.8033581140066419,2.3146261172323505e-06,0.8078431496259643,0.8513099447344958,0.07319808856089856,0.3334503650971361,0.0005400676321766925,0.2447160811411121,0.00020426500285716586,2.762730095904178e-07,Quinpirole 6-OHDA
12,VL,0.7747290835020708,4.011320098075678e-06,0.30677609990953836,0.6182191954570116,0.8241270014872888,0.23032953260641398,0.0007128659862781311,0.15833287952919273,1.811240521780603e-05,2.6199764769960827e-07,Quinpirole 6-OHDA
13,VL,0.8917636408190897,3.7670120494633457e-06,0.9128600008359218,0.8733946448003521,0.746097614933207,0.08034998031252905,3.654898570454567e-05,0.16790877609798988,2.3471891218941978e-08,6.221946090548588e-08,Quinpirole 6-OHDA
14,VL,0.684646539802646,3.086665479506802e-06,0.15184513956439608,1.066548503113944,1.0930219418673692,0.41860846135618707,0.0009487702089291999,0.4506063016513656,0.004561323638030494,7.228380634526156e-07,Quinpirole 6-OHDA
15,VL,0.6133577331817225,5.541034102922639e-06,0.7933040710058803,0.30315578362535034,1.1387578361562465,0.08004143217462442,0.00030754817371803756,0.47173843219415706,0.0002791860359838366,3.4001526634913526e-07,Quinpirole 6-OHDA
