,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_Ca,Condition
0,DL,0.206522951,3.91E-06,0.104375017,0.385206656,1.215999929,0.108365039,0.000754689,0.47117025,7.59E-07,6-OHDA
1,DL,0.220498321,4.61E-07,0.076867342,1.480587962,0.786118492,0.469947738,0.000381121,0.533818115,3.54E-07,6-OHDA
2,DL,0.331921449,9.64E-07,0.144920709,1.192985787,0.506417829,0.13645267,0.000191829,0.481430502,2.33E-07,6-OHDA
3,DL,0.16787791,3.27E-06,0.10809198,0.557661996,0.705078674,0.210085254,0.000917564,0.512424136,9.47E-07,6-OHDA
4,DL,0.372753314,2.25E-06,0.113938631,0.604030379,1.848000542,0.260588842,0.0009929,0.347381515,6.82E-07,6-OHDA
5,DL,0.392620906,2.08E-06,0.360666214,0.318553829,0.192902943,0.337727927,0.000740717,0.587023061,7.91E-07,6-OHDA
6,DL,0.773325565,4.89E-06,0.299284984,1.563629596,1.429040962,0.378627387,0.000761786,0.272555251,3.90E-07,6-OHDA
7,DL,0.630592343,8.72E-06,0.184009019,1.126128207,1.158065928,0.419227679,0.000821948,0.456412075,6.40E-07,6-OHDA
8,DL,0.672913468,1.87E-06,0.774170161,0.579471589,1.552553778,0.153804163,0.000276566,0.59638555,3.75E-07,6-OHDA
9,DL,0.206522951,3.91E-06,0.083872076,0.381250357,1.215999929,0.108365039,0.000754689,0.450216708,7.28E-07,Quinpirole 6-OHDA
10,DL,0.220498321,4.61E-07,0.114167886,2.747137764,0.786118492,0.469947738,0.000381121,0.436821159,2.99E-07,Quinpirole 6-OHDA
11,DL,0.331921449,9.64E-07,0.111168011,1.401317003,0.506417829,0.13645267,0.000191829,0.409895367,2.06E-07,Quinpirole 6-OHDA
12,DL,0.16787791,3.27E-06,0.191012109,0.618983533,0.705078674,0.210085254,0.000917564,0.397728272,7.46E-07,Quinpirole 6-OHDA
13,DL,0.372753314,2.25E-06,0.089410375,0.944944203,1.848000542,0.260588842,0.0009929,0.340036738,6.69E-07,Quinpirole 6-OHDA
14,DL,0.392620906,2.08E-06,0.180333107,0.159276914,0.192902943,0.337727927,0.000740717,0.592893292,7.99E-07,Quinpirole 6-OHDA
15,DL,0.773325565,4.89E-06,0.598569969,0.781814798,1.429040962,0.378627387,0.000761786,0.275280804,3.93E-07,Quinpirole 6-OHDA
16,DL,0.630592343,8.72E-06,0.368018038,0.563064104,1.158065928,0.419227679,0.000821948,0.460976196,6.46E-07,Quinpirole 6-OHDA
17,DL,0.672913468,1.87E-06,0.38708508,0.289735794,1.552553778,0.153804163,0.000276566,0.602349405,3.78E-07,Quinpirole 6-OHDA
