,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_Ca,Condition
0,DM,0.198406309,8.61E-07,0.169644092,1.067821654,1.289089387,0.379633054,0.000425272,0.462982397,3.72E-07,6-OHDA
1,DM,0.173361338,1.75E-06,0.553573729,1.996876255,0.685164258,0.305241188,0.000869011,0.563634768,9.12E-07,6-OHDA
2,DM,0.175792839,1.25E-06,0.266866356,0.522560438,0.879369004,0.249637202,0.000957318,0.501492354,9.38E-07,6-OHDA
3,DM,0.451692771,2.61E-06,0.206705308,1.600450653,1.299365444,0.324977524,0.000849724,0.631696527,9.77E-07,6-OHDA
4,DM,0.367337978,2.13E-06,0.00086939,0.589851332,1.625596259,0.190014258,0.000655268,0.455731255,6.27E-07,6-OHDA
5,DM,0.356672797,1.21E-06,0.196731051,1.153653049,0.71959201,0.413436571,0.000789533,0.418157244,5.72E-07,6-OHDA
6,DM,0.356555664,2.12E-06,0.180603911,0.015343278,1.466511673,0.217322898,0.000390244,0.674829308,5.50E-07,6-OHDA
7,DM,0.38899877,1.02E-06,0.070579359,0.816950881,1.037394308,0.46028025,0.000978424,0.553761165,8.68E-07,6-OHDA
8,DM,0.271546479,3.01E-06,0.043584919,1.235230395,0.436074495,0.100705421,0.000115856,0.515646707,1.69E-07,6-OHDA
9,DM,0.198406309,8.61E-07,0.104675585,1.261898689,1.289089387,0.379633054,0.000425272,0.407552778,3.34E-07,Quinpirole 6-OHDA
10,DM,0.173361338,1.75E-06,0.276786865,0.998438127,0.685164258,0.305241188,0.000869011,0.53259821,8.64E-07,Quinpirole 6-OHDA
11,DM,0.175792839,1.25E-06,0.133433178,0.261280219,0.879369004,0.249637202,0.000957318,0.27102505,5.30E-07,Quinpirole 6-OHDA
12,DM,0.451692771,2.61E-06,0.160700255,2.598279742,1.299365444,0.324977524,0.000849724,0.592359597,9.19E-07,Quinpirole 6-OHDA
13,DM,0.367337978,2.13E-06,0.000637141,0.346914875,1.625596259,0.190014258,0.000655268,0.410008534,5.69E-07,Quinpirole 6-OHDA
14,DM,0.356672797,1.21E-06,0.194924395,1.512849454,0.71959201,0.413436571,0.000789533,0.413060802,5.66E-07,Quinpirole 6-OHDA
15,DM,0.356555664,2.12E-06,0.098082819,0.020651379,1.466511673,0.217322898,0.000390244,0.612055016,5.03E-07,Quinpirole 6-OHDA
16,DM,0.38899877,1.02E-06,0.060368588,1.176242314,1.037394308,0.46028025,0.000978424,0.427725833,6.82E-07,Quinpirole 6-OHDA
17,DM,0.271546479,3.01E-06,0.02795533,2.195663579,0.436074495,0.100705421,0.000115856,0.408920862,1.45E-07,Quinpirole 6-OHDA
