,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_Ca,Condition
0,VL,0.106276461,1.32E-06,0.546894585,1.368425676,1.666905767,0.284180653,0.000559888,0.660376806,7.13E-07,6-OHDA
1,VL,0.315298139,1.95E-06,0.137849223,1.491845896,1.105682235,0.140393043,0.000371125,0.571405721,4.70E-07,6-OHDA
2,VL,0.149673531,4.81E-06,0.214104731,1.212236792,0.269212287,0.088138703,0.00061041,0.612688516,7.97E-07,6-OHDA
3,VL,0.597226008,4.25E-06,0.308834613,1.845876811,1.179122575,0.043809846,0.000444992,0.440039018,4.42E-07,6-OHDA
4,VL,0.624439384,4.31E-06,0.154657237,1.662485813,0.323354179,0.156362184,0.000421433,0.357408758,3.46E-07,6-OHDA
5,VL,0.658792272,7.50E-06,0.883816836,0.509317739,1.59831963,0.306747697,0.000482235,0.118767069,1.51E-07,6-OHDA
6,VL,0.60788461,6.61E-06,0.60978409,0.203280924,0.272344494,0.302722056,0.000514238,0.537490643,5.37E-07,6-OHDA
7,VL,0.751621195,4.97E-06,0.597219943,0.602369237,0.949242767,0.340382751,0.000874451,0.158175205,2.85E-07,6-OHDA
8,VL,0.894994984,4.32E-06,0.621100031,0.179968228,1.008030514,0.289842357,0.000371891,0.45016134,3.49E-07,6-OHDA
9,VL,0.106276461,1.32E-06,0.301163324,1.469234376,1.666905767,0.284180653,0.000559888,0.54944781,6.02E-07,Quinpirole 6-OHDA
10,VL,0.315298139,1.95E-06,0.144363659,1.312800905,1.105682235,0.140393043,0.000371125,0.512452511,4.26E-07,Quinpirole 6-OHDA
11,VL,0.149673531,4.81E-06,0.107052365,0.606118396,0.269212287,0.088138703,0.00061041,0.537362093,7.06E-07,Quinpirole 6-OHDA
12,VL,0.597226008,4.25E-06,0.154555919,1.102937982,1.179122575,0.043809846,0.000444992,0.428843396,4.32E-07,Quinpirole 6-OHDA
13,VL,0.624439384,4.31E-06,0.28040263,0.925123362,0.323354179,0.156362184,0.000421433,0.304924439,3.03E-07,Quinpirole 6-OHDA
14,VL,0.658792272,7.50E-06,1.767633673,0.25465887,1.59831963,0.306747697,0.000482235,0.076170533,1.14E-07,Quinpirole 6-OHDA
15,VL,0.60788461,6.61E-06,0.967543497,0.110570939,0.272344494,0.302722056,0.000514238,0.145343455,1.82E-07,Quinpirole 6-OHDA
16,VL,0.751621195,4.97E-06,1.194439886,0.301184619,0.949242767,0.340382751,0.000874451,0.159756957,2.88E-07,Quinpirole 6-OHDA
17,VL,0.894994984,4.32E-06,1.204964943,0.213840887,1.008030514,0.289842357,0.000371891,0.271517526,2.30E-07,Quinpirole 6-OHDA
