,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_Ca,Condition
0,VM,0.23224045,1.90E-06,0.066131478,0.695135581,1.115335923,0.105008811,0.000507462,0.318863437,3.73E-07,6-OHDA
1,VM,0.485342871,1.68E-06,0.121758567,1.407622808,1.473353338,0.28630407,0.000826105,0.42492734,6.79E-07,6-OHDA
2,VM,0.161776459,4.51E-06,0.13477358,0.135880538,1.470624667,0.036475791,0.00076092,0.545861016,8.81E-07,6-OHDA
3,VM,0.175916048,1.10E-06,0.091335953,1.162219102,0.698539002,0.189019056,0.00095811,0.607667656,1.18E-06,6-OHDA
4,VM,0.208851118,7.51E-07,0.154870777,0.830854505,1.701561536,0.102328728,0.000902912,0.540509961,1.02E-06,6-OHDA
5,VM,0.279092754,8.68E-07,0.13204091,1.865725374,0.558773528,0.286015105,0.000419076,0.592395962,4.95E-07,6-OHDA
6,VM,0.130441013,1.57E-06,0.146569162,1.343865896,0.539183461,0.086362888,0.000648312,0.459042588,6.45E-07,6-OHDA
7,VM,0.169647414,1.62E-06,0.200575592,1.529689561,1.551462051,0.191675073,0.000423562,0.598070762,5.39E-07,6-OHDA
8,VM,0.230782341,1.75E-06,0.057299725,1.171038422,1.130819128,0.127365117,0.000692321,0.387566209,5.83E-07,6-OHDA
9,VM,0.270727725,4.03E-06,0.078805332,1.318572075,0.777300833,0.44898481,0.000966537,0.525144043,8.25E-07,6-OHDA
10,VM,0.814218907,1.07E-06,0.820175506,0.19745823,1.246616948,0.198746639,0.000249783,0.680326771,3.77E-07,6-OHDA
11,VM,0.322743574,2.44E-06,0.136527941,0.845273972,1.697182819,0.196701096,0.000851751,0.580784237,1.00E-06,6-OHDA
12,VM,0.117618104,2.20E-06,0.115732695,1.896166524,0.6173824,0.083625554,0.000725082,0.641574061,9.80E-07,6-OHDA
13,VM,0.190312147,2.89E-06,0.580071221,1.676227021,0.065897239,0.129585195,0.000617362,0.629557884,8.22E-07,6-OHDA
14,VM,0.140948159,6.08E-06,0.032972129,0.112450471,1.102446544,0.061927552,0.000943678,0.27121429,5.62E-07,6-OHDA
15,VM,0.296579133,1.91E-06,0.154911681,0.788518295,0.950625677,0.20084554,0.000648335,0.413262879,5.64E-07,6-OHDA
16,VM,0.728481595,4.52E-06,0.89393628,1.439872524,1.150430544,0.070512982,0.0004287,0.285634924,2.95E-07,6-OHDA
17,VM,0.23224045,1.90E-06,0.033838648,0.489148351,1.115335923,0.105008811,0.000507462,0.211274403,2.64E-07,Quinpirole 6-OHDA
18,VM,0.485342871,1.68E-06,0.099503576,2.589864186,1.473353338,0.28630407,0.000826105,0.321076498,5.25E-07,Quinpirole 6-OHDA
19,VM,0.161776459,4.51E-06,0.067461438,0.106025485,1.470624667,0.036475791,0.00076092,0.233472868,4.05E-07,Quinpirole 6-OHDA
20,VM,0.175916048,1.10E-06,0.104093631,1.287392418,0.698539002,0.189019056,0.00095811,0.401886078,7.95E-07,Quinpirole 6-OHDA
21,VM,0.208851118,7.51E-07,0.085687201,0.415427253,1.701561536,0.102328728,0.000902912,0.30524732,6.00E-07,Quinpirole 6-OHDA
22,VM,0.279092754,8.68E-07,0.10501801,2.224768573,0.558773528,0.286015105,0.000419076,0.579280136,4.85E-07,Quinpirole 6-OHDA
23,VM,0.130441013,1.57E-06,0.081173193,2.657408385,0.539183461,0.086362888,0.000648312,0.207480317,3.19E-07,Quinpirole 6-OHDA
24,VM,0.169647414,1.62E-06,0.203669626,1.259246845,1.551462051,0.191675073,0.000423562,0.561035581,5.09E-07,Quinpirole 6-OHDA
25,VM,0.230782341,1.75E-06,0.046923676,2.009260662,1.130819128,0.127365117,0.000692321,0.229087466,3.65E-07,Quinpirole 6-OHDA
26,VM,0.270727725,4.03E-06,0.057796638,1.411387945,0.777300833,0.44898481,0.000966537,0.444547975,7.06E-07,Quinpirole 6-OHDA
27,VM,0.814218907,1.07E-06,1.50749737,0.350781657,1.246616948,0.198746639,0.000249783,0.478076303,2.79E-07,Quinpirole 6-OHDA
28,VM,0.322743574,2.44E-06,0.079727597,1.400550868,1.697182819,0.196701096,0.000851751,0.53329131,9.24E-07,Quinpirole 6-OHDA
29,VM,0.117618104,2.20E-06,0.061546199,3.56444672,0.6173824,0.083625554,0.000725082,0.317687864,5.10E-07,Quinpirole 6-OHDA
30,VM,0.190312147,2.89E-06,0.296908086,2.775699162,0.065897239,0.129585195,0.000617362,0.5882783,7.71E-07,Quinpirole 6-OHDA
31,VM,0.140948159,6.08E-06,0.063735607,0.057138583,1.102446544,0.061927552,0.000943678,0.190711766,4.10E-07,Quinpirole 6-OHDA
32,VM,0.296579133,1.91E-06,0.125563748,1.531208064,0.950625677,0.20084554,0.000648335,0.416783551,5.69E-07,Quinpirole 6-OHDA
33,VM,0.728481595,4.52E-06,1.142528702,1.758004167,1.150430544,0.070512982,0.0004287,0.112354503,1.46E-07,Quinpirole 6-OHDA
