Region,Condition,calcium_channel_open_prob,total_Ca
DL,Baseline,0.47117025,7.59E-07
DL,Baseline,0.533818115,3.54E-07
DL,Baseline,0.481430502,2.33E-07
DL,Baseline,0.512424136,9.47E-07
DL,Baseline,0.347381515,6.82E-07
DL,Baseline,0.587023061,7.91E-07
DL,Baseline,0.272555251,3.90E-07
DL,Baseline,0.456412075,6.40E-07
DL,Baseline,0.59638555,3.75E-07
DL,Quinpirole,0.450216708,7.28E-07
DL,Quinpirole,0.436821159,2.99E-07
DL,Quinpirole,0.409895367,2.06E-07
DL,Quinpirole,0.397728272,7.46E-07
DL,Quinpirole,0.340036738,6.69E-07
DL,Quinpirole,0.592893292,7.99E-07
DL,Quinpirole,0.275280804,3.93E-07
DL,Quinpirole,0.460976196,6.46E-07
DL,Quinpirole,0.602349405,3.78E-07
