Region,Condition,calcium_channel_open_prob,total_Ca
DL,Baseline,0.403243357,1.60E-07
DL,Baseline,0.513611652,7.48E-07
DL,Baseline,0.333163073,4.11E-07
DL,Baseline,0.495167894,5.40E-07
DL,Baseline,0.629611453,2.14E-07
DL,Baseline,0.555382064,1.03E-06
DL,Baseline,0.397732602,5.69E-07
DL,Baseline,0.672951251,1.10E-06
DL,Baseline,0.612315018,9.09E-07
DL,Baseline,0.484226974,3.39E-07
DL,Quinpirole,0.259591818,1.21E-07
DL,Quinpirole,0.306516844,4.66E-07
DL,Quinpirole,0.255637675,3.27E-07
DL,Quinpirole,0.137611797,1.86E-07
DL,Quinpirole,0.243378662,1.13E-07
DL,Quinpirole,0.542245598,1.01E-06
DL,Quinpirole,0.157488052,2.56E-07
DL,Quinpirole,0.375693209,6.37E-07
DL,Quinpirole,0.288518636,4.55E-07
DL,Quinpirole,0.097626506,1.08E-07
