Region,Condition,calcium_channel_open_prob,total_Ca
DM,Baseline,0.462982397,3.72E-07
DM,Baseline,0.563634768,9.12E-07
DM,Baseline,0.501492354,9.38E-07
DM,Baseline,0.631696527,9.77E-07
DM,Baseline,0.455731255,6.27E-07
DM,Baseline,0.418157244,5.72E-07
DM,Baseline,0.674829308,5.50E-07
DM,Baseline,0.553761165,8.68E-07
DM,Baseline,0.515646707,1.69E-07
DM,Quinpirole,0.407552778,3.34E-07
DM,Quinpirole,0.53259821,8.64E-07
DM,Quinpirole,0.27102505,5.30E-07
DM,Quinpirole,0.592359597,9.19E-07
DM,Quinpirole,0.410008534,5.69E-07
DM,Quinpirole,0.413060802,5.66E-07
DM,Quinpirole,0.612055016,5.03E-07
DM,Quinpirole,0.427725833,6.82E-07
DM,Quinpirole,0.408920862,1.45E-07
