Region,Condition,calcium_channel_open_prob,total_Ca
VL,Baseline,0.660376806,7.13E-07
VL,Baseline,0.571405721,4.70E-07
VL,Baseline,0.612688516,7.97E-07
VL,Baseline,0.440039018,4.42E-07
VL,Baseline,0.357408758,3.46E-07
VL,Baseline,0.118767069,1.51E-07
VL,Baseline,0.537490643,5.37E-07
VL,Baseline,0.158175205,2.85E-07
VL,Baseline,0.45016134,3.49E-07
VL,Quinpirole,0.54944781,6.02E-07
VL,Quinpirole,0.512452511,4.26E-07
VL,Quinpirole,0.537362093,7.06E-07
VL,Quinpirole,0.428843396,4.32E-07
VL,Quinpirole,0.304924439,3.03E-07
VL,Quinpirole,0.076170533,1.14E-07
VL,Quinpirole,0.145343455,1.82E-07
VL,Quinpirole,0.159756957,2.88E-07
VL,Quinpirole,0.271517526,2.30E-07
