Region,Condition,calcium_channel_open_prob,total_Ca
VL,Baseline,0.584488653,8.87E-07
VL,Baseline,0.447699506,6.80E-07
VL,Baseline,0.679807818,7.37E-07
VL,Baseline,0.625143295,9.11E-07
VL,Baseline,0.590343676,7.93E-07
VL,Baseline,0.524182315,7.74E-07
VL,Baseline,0.642806068,9.09E-07
VL,Baseline,0.212798529,2.84E-07
VL,Baseline,0.604526335,1.21E-06
VL,Baseline,0.637273637,1.01E-06
VL,Quinpirole,0.592191644,8.98E-07
VL,Quinpirole,0.47008435,7.12E-07
VL,Quinpirole,0.681198957,7.39E-07
VL,Quinpirole,0.588872751,8.61E-07
VL,Quinpirole,0.547622463,7.39E-07
VL,Quinpirole,0.537858889,7.93E-07
VL,Quinpirole,0.588695226,8.37E-07
VL,Quinpirole,0.223437535,2.95E-07
VL,Quinpirole,0.561493569,1.13E-06
VL,Quinpirole,0.598718194,9.48E-07
