Region,Condition,calcium_channel_open_prob,total_Ca
VM,Baseline,0.193336022,3.41E-07
VM,Baseline,0.659683323,4.20E-07
VM,Baseline,0.45273089,4.99E-07
VM,Baseline,0.601670055,4.23E-07
VM,Baseline,0.397406121,6.34E-07
VM,Baseline,0.610288731,1.24E-06
VM,Baseline,0.245001661,3.95E-07
VM,Baseline,0.575964087,7.64E-07
VM,Baseline,0.596768339,8.11E-07
VM,Baseline,0.065791732,4.09E-07
VM,Quinpirole,0.108729356,2.13E-07
VM,Quinpirole,0.419125296,2.85E-07
VM,Quinpirole,0.305110199,3.53E-07
VM,Quinpirole,0.389068203,2.91E-07
VM,Quinpirole,0.271592761,4.49E-07
VM,Quinpirole,0.432694537,8.92E-07
VM,Quinpirole,0.146602813,2.57E-07
VM,Quinpirole,0.296426673,4.18E-07
VM,Quinpirole,0.408060575,5.70E-07
VM,Quinpirole,0.038897498,3.15E-07
