Region,Condition,calcium_channel_open_prob,total_Ca
DM,Baseline,0.419636225,2.44E-07
DM,Baseline,0.581213147,6.68E-07
DM,Baseline,0.577148866,9.67E-07
DM,Baseline,0.699424471,4.37E-07
DM,Baseline,0.544053602,5.71E-07
DM,Baseline,0.207324903,2.46E-07
DM,Baseline,0.646800177,1.04E-06
DM,Baseline,0.412448227,5.58E-08
DM,Baseline,0.415958725,3.04E-07
DM,Baseline,0.66259535,3.47E-07
DM,Quinpirole,0.440618016,2.54E-07
DM,Quinpirole,0.610273782,6.99E-07
DM,Quinpirole,0.606006292,1.01E-06
DM,Quinpirole,0.590327009,3.77E-07
DM,Quinpirole,0.571256067,5.97E-07
DM,Quinpirole,0.169897922,2.11E-07
DM,Quinpirole,0.679137269,1.09E-06
DM,Quinpirole,0.433070638,5.61E-08
DM,Quinpirole,0.436756657,3.17E-07
DM,Quinpirole,0.665243671,3.49E-07
